         Step axial_stra... axial_stre... 
------------- ------------- ------------- 
 4.390000e+03 -2.932947e-07 -6.249493e+05 
 4.400000e+03 -7.832612e-07 -7.179487e+05 
 4.410000e+03 -1.273228e-06 -7.688028e+05 
 4.420000e+03 -1.763194e-06 -7.902465e+05 
 4.430000e+03 -2.253161e-06 -7.976226e+05 
 4.440000e+03 -2.743127e-06 -8.042729e+05 
 4.450000e+03 -3.233094e-06 -8.081267e+05 
 4.460000e+03 -3.723060e-06 -8.047598e+05 
 4.470000e+03 -4.213027e-06 -8.032098e+05 
 4.480000e+03 -4.702993e-06 -8.010014e+05 
 4.490000e+03 -5.192960e-06 -7.941669e+05 
 4.500000e+03 -5.682927e-06 -7.887036e+05 
 4.510000e+03 -6.172894e-06 -7.861197e+05 
 4.520000e+03 -6.662861e-06 -7.847081e+05 
 4.530000e+03 -7.152827e-06 -7.837372e+05 
 4.540000e+03 -7.642794e-06 -7.823530e+05 
 4.550000e+03 -8.132761e-06 -7.797046e+05 
 4.560000e+03 -8.622728e-06 -7.769471e+05 
 4.570000e+03 -9.112695e-06 -7.765940e+05 
 4.580000e+03 -9.602663e-06 -7.787840e+05 
 4.590000e+03 -1.009263e-05 -7.820396e+05 
 4.600000e+03 -1.058260e-05 -7.849859e+05 
 4.610000e+03 -1.107256e-05 -7.870669e+05 
 4.620000e+03 -1.156253e-05 -7.882372e+05 
 4.630000e+03 -1.205250e-05 -7.892393e+05 
 4.640000e+03 -1.254247e-05 -7.942831e+05 
 4.650000e+03 -1.303243e-05 -8.181791e+05 
 4.660000e+03 -1.352240e-05 -8.860329e+05 
 4.670000e+03 -1.401237e-05 -1.019447e+06 
 4.680000e+03 -1.450234e-05 -1.217587e+06 
 4.690000e+03 -1.499230e-05 -1.449281e+06 
 4.700000e+03 -1.548227e-05 -1.670235e+06 
 4.710000e+03 -1.597224e-05 -1.849578e+06 
 4.720000e+03 -1.646221e-05 -1.978359e+06 
 4.730000e+03 -1.695217e-05 -2.065083e+06 
 4.740000e+03 -1.744214e-05 -2.122036e+06 
 4.750000e+03 -1.793211e-05 -2.158971e+06 
 4.760000e+03 -1.842208e-05 -2.182503e+06 
 4.770000e+03 -1.891205e-05 -2.197190e+06 
 4.780000e+03 -1.940201e-05 -2.205847e+06 
 4.790000e+03 -1.989198e-05 -2.210072e+06 
 4.800000e+03 -2.038195e-05 -2.212211e+06 
 4.810000e+03 -2.087192e-05 -2.214545e+06 
 4.820000e+03 -2.136188e-05 -2.218528e+06 
 4.830000e+03 -2.185185e-05 -2.223914e+06 
 4.840000e+03 -2.234182e-05 -2.229039e+06 
 4.850000e+03 -2.283179e-05 -2.233740e+06 
 4.860000e+03 -2.332176e-05 -2.238936e+06 
 4.870000e+03 -2.381172e-05 -2.246870e+06 
 4.880000e+03 -2.430169e-05 -2.259565e+06 
 4.890000e+03 -2.479166e-05 -2.277540e+06 
 4.900000e+03 -2.528163e-05 -2.300003e+06 
 4.910000e+03 -2.577160e-05 -2.324476e+06 
 4.920000e+03 -2.626156e-05 -2.347759e+06 
 4.930000e+03 -2.675153e-05 -2.368932e+06 
 4.940000e+03 -2.724150e-05 -2.391504e+06 
 4.950000e+03 -2.773147e-05 -2.425067e+06 
 4.960000e+03 -2.822144e-05 -2.480644e+06 
 4.970000e+03 -2.871141e-05 -2.565144e+06 
 4.980000e+03 -2.920138e-05 -2.679010e+06 
 4.990000e+03 -2.969134e-05 -2.815092e+06 
 5.000000e+03 -3.018131e-05 -2.960244e+06 
 5.010000e+03 -3.067128e-05 -3.100644e+06 
 5.020000e+03 -3.116125e-05 -3.226019e+06 
 5.030000e+03 -3.165122e-05 -3.329931e+06 
 5.040000e+03 -3.214119e-05 -3.410555e+06 
 5.050000e+03 -3.263116e-05 -3.469807e+06 
 5.060000e+03 -3.312112e-05 -3.511277e+06 
 5.070000e+03 -3.361109e-05 -3.538689e+06 
 5.080000e+03 -3.410106e-05 -3.556190e+06 
 5.090000e+03 -3.459103e-05 -3.567328e+06 
 5.100000e+03 -3.508100e-05 -3.574715e+06 
 5.110000e+03 -3.557097e-05 -3.580756e+06 
 5.120000e+03 -3.606094e-05 -3.588265e+06 
 5.130000e+03 -3.655091e-05 -3.599068e+06 
 5.140000e+03 -3.704087e-05 -3.613709e+06 
 5.150000e+03 -3.753084e-05 -3.633018e+06 
 5.160000e+03 -3.802081e-05 -3.657172e+06 
 5.170000e+03 -3.851078e-05 -3.687121e+06 
 5.180000e+03 -3.900075e-05 -3.723062e+06 
 5.190000e+03 -3.949072e-05 -3.763931e+06 
 5.200000e+03 -3.998069e-05 -3.807881e+06 
