         Step axial_stra... axial_stre... 
------------- ------------- ------------- 
         Step axial_stra... axial_stre... 
------------- ------------- ------------- 
 4.390000e+03 -3.958108e-07 -3.547838e+05 
 4.400000e+03 -1.055496e-06 -4.610680e+05 
 4.410000e+03 -1.715181e-06 -5.278695e+05 
 4.420000e+03 -2.374867e-06 -5.675135e+05 
 4.430000e+03 -3.034553e-06 -5.895728e+05 
 4.440000e+03 -3.694240e-06 -6.048392e+05 
 4.450000e+03 -4.353926e-06 -6.135839e+05 
 4.460000e+03 -5.013613e-06 -6.164227e+05 
 4.470000e+03 -5.673299e-06 -6.189712e+05 
 4.480000e+03 -6.332986e-06 -6.193896e+05 
 4.490000e+03 -6.992673e-06 -6.171898e+05 
 4.500000e+03 -7.652359e-06 -6.151207e+05 
 4.510000e+03 -8.312046e-06 -6.140971e+05 
 4.520000e+03 -8.971733e-06 -6.137225e+05 
 4.530000e+03 -9.631420e-06 -6.135965e+05 
 4.540000e+03 -1.029111e-05 -6.138537e+05 
 4.550000e+03 -1.095079e-05 -6.130176e+05 
 4.560000e+03 -1.161048e-05 -6.118229e+05 
 4.570000e+03 -1.227017e-05 -6.116697e+05 
 4.580000e+03 -1.292985e-05 -6.126972e+05 
 4.590000e+03 -1.358954e-05 -6.145225e+05 
 4.600000e+03 -1.424923e-05 -6.168628e+05 
 4.610000e+03 -1.490891e-05 -6.186131e+05 
 4.620000e+03 -1.556860e-05 -6.191289e+05 
 4.630000e+03 -1.622829e-05 -6.190634e+05 
 4.640000e+03 -1.688797e-05 -6.221034e+05 
 4.650000e+03 -1.754766e-05 -6.416897e+05 
 4.660000e+03 -1.820735e-05 -6.999181e+05 
 4.670000e+03 -1.886704e-05 -8.140896e+05 
 4.680000e+03 -1.952672e-05 -9.774795e+05 
 4.690000e+03 -2.018641e-05 -1.157505e+06 
 4.700000e+03 -2.084610e-05 -1.320433e+06 
 4.710000e+03 -2.150579e-05 -1.450222e+06 
 4.720000e+03 -2.216548e-05 -1.546231e+06 
 4.730000e+03 -2.282517e-05 -1.615638e+06 
 4.740000e+03 -2.348486e-05 -1.665080e+06 
 4.750000e+03 -2.414455e-05 -1.699081e+06 
 4.760000e+03 -2.480424e-05 -1.721620e+06 
 4.770000e+03 -2.546393e-05 -1.736099e+06 
 4.780000e+03 -2.612362e-05 -1.744893e+06 
 4.790000e+03 -2.678331e-05 -1.750037e+06 
 4.800000e+03 -2.744300e-05 -1.753558e+06 
 4.810000e+03 -2.810269e-05 -1.756516e+06 
 4.820000e+03 -2.876238e-05 -1.759167e+06 
 4.830000e+03 -2.942207e-05 -1.761725e+06 
 4.840000e+03 -3.008176e-05 -1.764781e+06 
 4.850000e+03 -3.074145e-05 -1.769207e+06 
 4.860000e+03 -3.140114e-05 -1.775583e+06 
 4.870000e+03 -3.206083e-05 -1.784078e+06 
 4.880000e+03 -3.272052e-05 -1.794258e+06 
 4.890000e+03 -3.338021e-05 -1.804606e+06 
 4.900000e+03 -3.403990e-05 -1.813555e+06 
 4.910000e+03 -3.469959e-05 -1.820519e+06 
 4.920000e+03 -3.535928e-05 -1.825947e+06 
 4.930000e+03 -3.601898e-05 -1.831317e+06 
 4.940000e+03 -3.667867e-05 -1.840704e+06 
 4.950000e+03 -3.733836e-05 -1.862517e+06 
 4.960000e+03 -3.799805e-05 -1.906858e+06 
 4.970000e+03 -3.865774e-05 -1.979167e+06 
 4.980000e+03 -3.931743e-05 -2.077719e+06 
 4.990000e+03 -3.997712e-05 -2.193686e+06 
 5.000000e+03 -4.063682e-05 -2.314463e+06 
 5.010000e+03 -4.129651e-05 -2.429276e+06 
 5.020000e+03 -4.195620e-05 -2.531179e+06 
 5.030000e+03 -4.261589e-05 -2.616491e+06 
 5.040000e+03 -4.327559e-05 -2.684692e+06 
 5.050000e+03 -4.393528e-05 -2.737245e+06 
 5.060000e+03 -4.459498e-05 -2.776561e+06 
 5.070000e+03 -4.525467e-05 -2.805452e+06 
 5.080000e+03 -4.591436e-05 -2.826522e+06 
 5.090000e+03 -4.657406e-05 -2.842228e+06 
 5.100000e+03 -4.723375e-05 -2.854467e+06 
 5.110000e+03 -4.789344e-05 -2.864865e+06 
 5.120000e+03 -4.855314e-05 -2.874833e+06 
 5.130000e+03 -4.921283e-05 -2.885840e+06 
 5.140000e+03 -4.987253e-05 -2.898905e+06 
 5.150000e+03 -5.053222e-05 -2.914642e+06 
 5.160000e+03 -5.119191e-05 -2.933076e+06 
 5.170000e+03 -5.185161e-05 -2.953257e+06 
 5.180000e+03 -5.251130e-05 -2.973567e+06 
 5.190000e+03 -5.317100e-05 -2.992430e+06 
 5.200000e+03 -5.383069e-05 -3.008647e+06 
 5.210000e+03 -5.449038e-05 -3.021726e+06 
 5.220000e+03 -5.515008e-05 -3.032293e+06 
 5.230000e+03 -5.580977e-05 -3.042123e+06 
 5.240000e+03 -5.646947e-05 -3.054504e+06 
 5.250000e+03 -5.712916e-05 -3.074230e+06 
 5.260000e+03 -5.778886e-05 -3.106753e+06 
 5.270000e+03 -5.844855e-05 -3.155849e+06 
 5.280000e+03 -5.910825e-05 -3.221956e+06 
 5.290000e+03 -5.976795e-05 -3.301970e+06 
 5.300000e+03 -6.042764e-05 -3.390171e+06 
 5.310000e+03 -6.108734e-05 -3.479828e+06 
 5.320000e+03 -6.174703e-05 -3.565275e+06 
 5.330000e+03 -6.240673e-05 -3.642628e+06 
 5.340000e+03 -6.306643e-05 -3.709612e+06 
 5.350000e+03 -6.372613e-05 -3.765856e+06 
 5.360000e+03 -6.438582e-05 -3.812134e+06 
 5.370000e+03 -6.504552e-05 -3.849863e+06 
 5.380000e+03 -6.570522e-05 -3.880865e+06 
 5.390000e+03 -6.636491e-05 -3.906886e+06 
 5.400000e+03 -6.702461e-05 -3.929630e+06 
 5.410000e+03 -6.768431e-05 -3.950750e+06 
 5.420000e+03 -6.834401e-05 -3.971525e+06 
 5.430000e+03 -6.900370e-05 -3.993227e+06 
 5.440000e+03 -6.966340e-05 -4.016801e+06 
 5.450000e+03 -7.032310e-05 -4.042657e+06 
 5.460000e+03 -7.098280e-05 -4.070731e+06 
 5.470000e+03 -7.164249e-05 -4.100404e+06 
 5.480000e+03 -7.230219e-05 -4.130521e+06 
 5.490000e+03 -7.296189e-05 -4.159567e+06 
 5.500000e+03 -7.362159e-05 -4.186401e+06 
 5.510000e+03 -7.428129e-05 -4.210324e+06 
 5.520000e+03 -7.494099e-05 -4.231294e+06 
 5.530000e+03 -7.560068e-05 -4.250088e+06 
 5.540000e+03 -7.626038e-05 -4.268343e+06 
 5.550000e+03 -7.692008e-05 -4.288674e+06 
 5.560000e+03 -7.757978e-05 -4.314300e+06 
 5.570000e+03 -7.823948e-05 -4.348031e+06 
 5.580000e+03 -7.889918e-05 -4.391443e+06 
 5.590000e+03 -7.955888e-05 -4.444443e+06 
 5.600000e+03 -8.021858e-05 -4.505146e+06 
 5.610000e+03 -8.087828e-05 -4.570211e+06 
 5.620000e+03 -8.153798e-05 -4.635952e+06 
 5.630000e+03 -8.219768e-05 -4.699358e+06 
 5.640000e+03 -8.285738e-05 -4.758358e+06 
 5.650000e+03 -8.351708e-05 -4.811862e+06 
 5.660000e+03 -8.417678e-05 -4.859672e+06 
 5.670000e+03 -8.483648e-05 -4.901880e+06 
 5.680000e+03 -8.549618e-05 -4.938879e+06 
 5.690000e+03 -8.615588e-05 -4.971588e+06 
 5.700000e+03 -8.681558e-05 -5.001252e+06 
 5.710000e+03 -8.747528e-05 -5.029387e+06 
 5.720000e+03 -8.813499e-05 -5.057605e+06 
 5.730000e+03 -8.879469e-05 -5.087125e+06 
 5.740000e+03 -8.945439e-05 -5.118756e+06 
 5.750000e+03 -9.011409e-05 -5.152811e+06 
 5.760000e+03 -9.077379e-05 -5.189178e+06 
 5.770000e+03 -9.143349e-05 -5.227358e+06 
